NSFName,UnitId,Year,AcademicDiscipline,TotalRDExpenditures
Northwestern University,147767,2013,Chemistry,35547000
Northwestern University,147767,2014,Chemistry,33303000
Northwestern University,147767,2015,Chemistry,34334000
Northwestern University,147767,2016,Chemistry,39855000
Northwestern University,147767,2004,Civil Engineering,4344000
Northwestern University,147767,2005,Civil Engineering,3565000
Northwestern University,147767,2006,Civil Engineering,2811000
Northwestern University,147767,2007,Civil Engineering,2284000
Northwestern University,147767,2008,Civil Engineering,2720000
Northwestern University,147767,2009,Civil Engineering,3086000
Northwestern University,147767,2010,Civil Engineering,3738000
Northwestern University,147767,2011,Civil Engineering,4286000
Northwestern University,147767,2012,Civil Engineering,3410000
Northwestern University,147767,2013,Civil Engineering,3289000
Northwestern University,147767,2014,Civil Engineering,3635000
Northwestern University,147767,2015,Civil Engineering,4459000
Northwestern University,147767,2016,Civil Engineering,5247000
Northwestern University,147767,2004,Communication and Librarianship,998000
Northwestern University,147767,2005,Communication and Librarianship,1162000
Northwestern University,147767,2006,Communication and Librarianship,1995000
Northwestern University,147767,2007,Communication and Librarianship,1874000
Northwestern University,147767,2008,Communication and Librarianship,1725000
Northwestern University,147767,2009,Communication and Librarianship,3370000
Northwestern University,147767,2010,Communication and Librarianship,2875000
Northwestern University,147767,2011,Communication and Librarianship,3923000
Northwestern University,147767,2012,Communication and Librarianship,4128000
Northwestern University,147767,2013,Communication and Librarianship,4079000
Northwestern University,147767,2014,Communication and Librarianship,4787000
Northwestern University,147767,2015,Communication and Librarianship,6677000
Northwestern University,147767,2016,Communication and Librarianship,7195000
Northwestern University,147767,2004,Computer Science,3505000
Northwestern University,147767,2005,Computer Science,3907000
Northwestern University,147767,2006,Computer Science,1560000
Northwestern University,147767,2007,Computer Science,1333000
Northwestern University,147767,2008,Computer Science,1193000
Northwestern University,147767,2009,Computer Science,19000
Northwestern University,147767,2010,Computer Science,64000
Northwestern University,147767,2011,Computer Science,26000
Northwestern University,147767,2012,Computer Science,0
Northwestern University,147767,2013,Computer Science,0
Northwestern University,147767,2014,Computer Science,0
Northwestern University,147767,2015,Computer Science,40000
Northwestern University,147767,2016,Computer Science,2197000
Northwestern University,147767,2004,Earth Sciences,911000
Northwestern University,147767,2005,Earth Sciences,1237000
Northwestern University,147767,2006,Earth Sciences,3690000
Northwestern University,147767,2007,Earth Sciences,2053000
Northwestern University,147767,2008,Earth Sciences,1246000
Northwestern University,147767,2009,Earth Sciences,1338000
Northwestern University,147767,2010,Earth Sciences,2449000
Northwestern University,147767,2011,Earth Sciences,1571000
Northwestern University,147767,2012,Earth Sciences,1680000
Northwestern University,147767,2013,Earth Sciences,1624000
Northwestern University,147767,2014,Earth Sciences,1990000
Northwestern University,147767,2015,Earth Sciences,1924000
Northwestern University,147767,2016,Earth Sciences,1655000
Northwestern University,147767,2005,Economics,1591000
Northwestern University,147767,2006,Economics,1402000
Northwestern University,147767,2007,Economics,1356000
Northwestern University,147767,2008,Economics,1108000
Northwestern University,147767,2009,Economics,781000
Northwestern University,147767,2010,Economics,998000
Northwestern University,147767,2011,Economics,1308000
Northwestern University,147767,2012,Economics,1636000
Northwestern University,147767,2013,Economics,1778000
Northwestern University,147767,2014,Economics,1563000
Northwestern University,147767,2015,Economics,1797000
Northwestern University,147767,2016,Economics,2015000
Northwestern University,147767,2004,Education,3803000
Northwestern University,147767,2005,Education,4350000
Northwestern University,147767,2006,Education,4131000
Northwestern University,147767,2007,Education,4552000
Northwestern University,147767,2008,Education,5341000
Northwestern University,147767,2009,Education,8978000
Northwestern University,147767,2010,Education,6692000
Northwestern University,147767,2011,Education,7801000
Northwestern University,147767,2012,Education,8656000
Northwestern University,147767,2013,Education,7481000
Northwestern University,147767,2014,Education,6334000
Northwestern University,147767,2015,Education,7363000
Northwestern University,147767,2016,Education,9650000
Northwestern University,147767,2004,Electrical Engineering,5443000
Northwestern University,147767,2005,Electrical Engineering,6287000
Northwestern University,147767,2006,Electrical Engineering,9342000
Northwestern University,147767,2007,Electrical Engineering,8712000
Northwestern University,147767,2008,Electrical Engineering,10172000
Northwestern University,147767,2009,Electrical Engineering,5331000
Northwestern University,147767,2010,Electrical Engineering,5265000
Northwestern University,147767,2011,Electrical Engineering,5444000
Northwestern University,147767,2012,Electrical Engineering,6106000
Northwestern University,147767,2013,Electrical Engineering,8096000
Northwestern University,147767,2014,Electrical Engineering,6866000
Northwestern University,147767,2015,Electrical Engineering,7213000
Northwestern University,147767,2016,Electrical Engineering,12742000
Northwestern University,147767,2004,Humanities,872000
Northwestern University,147767,2005,Humanities,976000
Northwestern University,147767,2006,Humanities,849000
Northwestern University,147767,2007,Humanities,1219000
Northwestern University,147767,2008,Humanities,1147000
Northwestern University,147767,2009,Humanities,1323000
Northwestern University,147767,2010,Humanities,1006000
Northwestern University,147767,2011,Humanities,1758000
Northwestern University,147767,2012,Humanities,2058000
Northwestern University,147767,2013,Humanities,2598000
Northwestern University,147767,2014,Humanities,1442000
Northwestern University,147767,2015,Humanities,1776000
Northwestern University,147767,2016,Humanities,3166000
Northwestern University,147767,2016,Industrial Engineering,2983000
Northwestern University,147767,2004,Interdisciplinary or Other Sciences,6368000
Northwestern University,147767,2005,Interdisciplinary or Other Sciences,7172000
Northwestern University,147767,2006,Interdisciplinary or Other Sciences,10563000
Northwestern University,147767,2007,Interdisciplinary or Other Sciences,11880000
Northwestern University,147767,2008,Interdisciplinary or Other Sciences,13206000
Northwestern University,147767,2009,Interdisciplinary or Other Sciences,13929000
Northwestern University,147767,2010,Interdisciplinary or Other Sciences,16875000
Northwestern University,147767,2011,Interdisciplinary or Other Sciences,17860000
Northwestern University,147767,2012,Interdisciplinary or Other Sciences,26883000
Northwestern University,147767,2013,Interdisciplinary or Other Sciences,25773000
Northwestern University,147767,2014,Interdisciplinary or Other Sciences,28335000
Northwestern University,147767,2015,Interdisciplinary or Other Sciences,26569000
Northwestern University,147767,2016,Interdisciplinary or Other Sciences,23848000
Northwestern University,147767,2004,Law,978000
Northwestern University,147767,2005,Law,2770000
Northwestern University,147767,2006,Law,2728000
Northwestern University,147767,2007,Law,1974000
Northwestern University,147767,2008,Law,3284000
Northwestern University,147767,2009,Law,4699000
Northwestern University,147767,2010,Law,1795000
Northwestern University,147767,2011,Law,934000
Northwestern University,147767,2012,Law,1708000
Northwestern University,147767,2013,Law,2234000
Northwestern University,147767,2014,Law,1847000
Northwestern University,147767,2015,Law,1486000
Northwestern University,147767,2016,Law,1492000
Northwestern University,147767,2004,Materials Engineering,13819000
Northwestern University,147767,2005,Materials Engineering,13089000
Northwestern University,147767,2006,Materials Engineering,15483000
Northwestern University,147767,2007,Materials Engineering,17547000
Northwestern University,147767,2008,Materials Engineering,18454000
Northwestern University,147767,2009,Materials Engineering,22390000
Northwestern University,147767,2010,Materials Engineering,18201000
Northwestern University,147767,2011,Materials Engineering,18296000
Northwestern University,147767,2012,Materials Engineering,17982000
Northwestern University,147767,2013,Materials Engineering,21178000
Northwestern University,147767,2014,Materials Engineering,21738000
Northwestern University,147767,2015,Materials Engineering,18397000
Northwestern University,147767,2016,Materials Engineering,17752000
Northwestern University,147767,2004,Mathematics and Statistics,1460000
Northwestern University,147767,2005,Mathematics and Statistics,2655000
Northwestern University,147767,2006,Mathematics and Statistics,2082000
Northwestern University,147767,2007,Mathematics and Statistics,2837000
Northwestern University,147767,2008,Mathematics and Statistics,2918000
Northwestern University,147767,2009,Mathematics and Statistics,2939000
Northwestern University,147767,2010,Mathematics and Statistics,2325000
Northwestern University,147767,2011,Mathematics and Statistics,2802000
Northwestern University,147767,2012,Mathematics and Statistics,2849000
Northwestern University,147767,2013,Mathematics and Statistics,2648000
Northwestern University,147767,2014,Mathematics and Statistics,2096000
Northwestern University,147767,2015,Mathematics and Statistics,2228000
Northwestern University,147767,2016,Mathematics and Statistics,2293000
Northwestern University,147767,2004,Mechanical Engineering,5143000
Northwestern University,147767,2005,Mechanical Engineering,5606000
Northwestern University,147767,2006,Mechanical Engineering,5273000
Northwestern University,147767,2007,Mechanical Engineering,5635000
Northwestern University,147767,2008,Mechanical Engineering,6090000
Northwestern University,147767,2009,Mechanical Engineering,6187000
Northwestern University,147767,2010,Mechanical Engineering,7824000
Northwestern University,147767,2011,Mechanical Engineering,8734000
Northwestern University,147767,2012,Mechanical Engineering,9099000
Northwestern University,147767,2013,Mechanical Engineering,8942000
Northwestern University,147767,2014,Mechanical Engineering,8866000
Northwestern University,147767,2015,Mechanical Engineering,9463000
Northwestern University,147767,2016,Mechanical Engineering,10923000
Northwestern University,147767,2004,Medical Sciences,156735000
Northwestern University,147767,2005,Medical Sciences,168429000
Northwestern University,147767,2006,Medical Sciences,194274000
Northwestern University,147767,2007,Medical Sciences,216044000
Northwestern University,147767,2008,Medical Sciences,254808000
Northwestern University,147767,2009,Medical Sciences,259150000
Northwestern University,147767,2010,Medical Sciences,294111000
Northwestern University,147767,2011,Medical Sciences,326007000
Northwestern University,147767,2012,Medical Sciences,312879000
Northwestern University,147767,2013,Medical Sciences,317945000
Northwestern University,147767,2014,Medical Sciences,320206000
Northwestern University,147767,2015,Medical Sciences,327972000
Northwestern University,147767,2016,Medical Sciences,346275000
Northwestern University,147767,2004,Not Available,0
Northwestern University,147767,2005,Not Available,0
Northwestern University,147767,2006,Not Available,0
Northwestern University,147767,2007,Not Available,0
Northwestern University,147767,2008,Not Available,0
Northwestern University,147767,2009,Not Available,0
Northwestern University,147767,2010,Not Available,0
Northwestern University,147767,2011,Not Available,0
Northwestern University,147767,2012,Not Available,0
Northwestern University,147767,2013,Not Available,0
Northwestern University,147767,2014,Not Available,0
Northwestern University,147767,2015,Not Available,0
Northwestern University,147767,2016,Not Available,0
Northwestern University,147767,2004,Oceanography,0
Northwestern University,147767,2005,Oceanography,0
Northwestern University,147767,2006,Oceanography,0
Northwestern University,147767,2007,Oceanography,0
Northwestern University,147767,2008,Oceanography,0
Northwestern University,147767,2009,Oceanography,0
Northwestern University,147767,2010,Oceanography,0
Northwestern University,147767,2011,Oceanography,0
Northwestern University,147767,2012,Oceanography,0
Northwestern University,147767,2013,Oceanography,0
Northwestern University,147767,2014,Oceanography,0
Northwestern University,147767,2015,Oceanography,0
Northwestern University,147767,2016,Oceanography,0
Northwestern University,147767,2004,Other Engineering,21595000
Northwestern University,147767,2005,Other Engineering,27314000
Northwestern University,147767,2006,Other Engineering,25816000
Northwestern University,147767,2007,Other Engineering,26774000
Northwestern University,147767,2008,Other Engineering,28530000
Northwestern University,147767,2009,Other Engineering,30236000
Northwestern University,147767,2010,Other Engineering,27727000
Northwestern University,147767,2011,Other Engineering,32466000
Northwestern University,147767,2012,Other Engineering,29499000
Northwestern University,147767,2013,Other Engineering,26978000
Northwestern University,147767,2014,Other Engineering,32224000
Northwestern University,147767,2015,Other Engineering,29220000
Northwestern University,147767,2016,Other Engineering,27519000
Northwestern University,147767,2004,Other Geosciences,0
Northwestern University,147767,2005,Other Geosciences,0
Northwestern University,147767,2006,Other Geosciences,0
Northwestern University,147767,2007,Other Geosciences,0
Northwestern University,147767,2008,Other Geosciences,0
Northwestern University,147767,2009,Other Geosciences,0
Northwestern University,147767,2010,Other Geosciences,0
Northwestern University,147767,2011,Other Geosciences,0
Northwestern University,147767,2012,Other Geosciences,0
Northwestern University,147767,2013,Other Geosciences,0
Northwestern University,147767,2014,Other Geosciences,0
Northwestern University,147767,2015,Other Geosciences,0
Northwestern University,147767,2016,Other Geosciences,0
Northwestern University,147767,2004,Other Life Sciences,8117000
Northwestern University,147767,2005,Other Life Sciences,11710000
Northwestern University,147767,2006,Other Life Sciences,13356000
Northwestern University,147767,2007,Other Life Sciences,11360000
Northwestern University,147767,2008,Other Life Sciences,13514000
Northwestern University,147767,2009,Other Life Sciences,11488000
Northwestern University,147767,2010,Other Life Sciences,12256000
Northwestern University,147767,2011,Other Life Sciences,11937000
Northwestern University,147767,2012,Other Life Sciences,16754000
Northwestern University,147767,2013,Other Life Sciences,17542000
Northwestern University,147767,2014,Other Life Sciences,20656000
Northwestern University,147767,2015,Other Life Sciences,23740000
Northwestern University,147767,2016,Other Life Sciences,11425000
Northwestern University,147767,2004,Other Non-sciences or Unknown Disciplines,0
Northwestern University,147767,2005,Other Non-sciences or Unknown Disciplines,0
Northwestern University,147767,2006,Other Non-sciences or Unknown Disciplines,0
Northwestern University,147767,2007,Other Non-sciences or Unknown Disciplines,0
Northwestern University,147767,2008,Other Non-sciences or Unknown Disciplines,0
Northwestern University,147767,2009,Other Non-sciences or Unknown Disciplines,0
Northwestern University,147767,2010,Other Non-sciences or Unknown Disciplines,2224000
Northwestern University,147767,2011,Other Non-sciences or Unknown Disciplines,2806000
Northwestern University,147767,2012,Other Non-sciences or Unknown Disciplines,2975000
Northwestern University,147767,2013,Other Non-sciences or Unknown Disciplines,2419000
Northwestern University,147767,2014,Other Non-sciences or Unknown Disciplines,2070000
Northwestern University,147767,2015,Other Non-sciences or Unknown Disciplines,2161000
Northwestern University,147767,2016,Other Non-sciences or Unknown Disciplines,2000
Northwestern University,147767,2004,Other Physical Sciences,2476000
Northwestern University,147767,2005,Other Physical Sciences,1976000
Northwestern University,147767,2006,Other Physical Sciences,1776000
Northwestern University,147767,2007,Other Physical Sciences,1441000
Northwestern University,147767,2008,Other Physical Sciences,1749000
Northwestern University,147767,2009,Other Physical Sciences,1561000
Northwestern University,147767,2010,Other Physical Sciences,2838000
Northwestern University,147767,2011,Other Physical Sciences,2440000
Northwestern University,147767,2012,Other Physical Sciences,2295000
Northwestern University,147767,2013,Other Physical Sciences,2096000
Northwestern University,147767,2014,Other Physical Sciences,2218000
Northwestern University,147767,2015,Other Physical Sciences,1696000
Northwestern University,147767,2016,Other Physical Sciences,14527000
Northwestern University,147767,2004,Other Social Sciences,1316000
Northwestern University,147767,2005,Other Social Sciences,1019000
Northwestern University,147767,2006,Other Social Sciences,902000
Northwestern University,147767,2007,Other Social Sciences,1692000
Northwestern University,147767,2008,Other Social Sciences,1736000
Northwestern University,147767,2009,Other Social Sciences,2290000
Northwestern University,147767,2010,Other Social Sciences,2056000
Northwestern University,147767,2011,Other Social Sciences,1082000
Northwestern University,147767,2012,Other Social Sciences,658000
Northwestern University,147767,2013,Other Social Sciences,1551000
Northwestern University,147767,2014,Other Social Sciences,1201000
Northwestern University,147767,2015,Other Social Sciences,1721000
Northwestern University,147767,2016,Other Social Sciences,13036000
Northwestern University,147767,2004,Physics,6883000
Northwestern University,147767,2005,Physics,7027000
Northwestern University,147767,2006,Physics,6439000
Northwestern University,147767,2007,Physics,6392000
Northwestern University,147767,2008,Physics,6296000
Northwestern University,147767,2009,Physics,8354000
Northwestern University,147767,2010,Physics,9385000
Northwestern University,147767,2011,Physics,8750000
Northwestern University,147767,2012,Physics,8767000
Northwestern University,147767,2013,Physics,9052000
Northwestern University,147767,2014,Physics,6978000
Northwestern University,147767,2015,Physics,7521000
Northwestern University,147767,2016,Physics,10125000
Northwestern University,147767,2004,Political Science and Public Administration,6209000
Northwestern University,147767,2005,Political Science and Public Administration,5573000
Northwestern University,147767,2006,Political Science and Public Administration,4605000
Northwestern University,147767,2007,Political Science and Public Administration,5683000
Northwestern University,147767,2008,Political Science and Public Administration,7126000
Northwestern University,147767,2009,Political Science and Public Administration,9422000
Northwestern University,147767,2010,Political Science and Public Administration,7586000
Northwestern University,147767,2011,Political Science and Public Administration,8924000
Northwestern University,147767,2012,Political Science and Public Administration,9872000
